full_name,title,level,state_code,district_number,county_name
Jimmy Blacklock,Chief Justice Supreme Court of Texas,Statewide,TX,,
Steve Rogers,Judge 268th District Court,District,TX,268,Fort Bend
Kelly Crow,Justice of the Peace,County/Magistrate,TX,,Fort Bend
