full_name,title,level,state_code,district_number,county_name
Steve Rogers,Judge 268th District Court,District,TX,268,Fort Bend
Surendran K. Patel,Judge 240th District Court,District,TX,240,Fort Bend
Monica Rawlins,Judge 328th District Court,District,TX,328,Fort Bend
Janet Heppard,Judge 387th District Court,District,TX,387,Fort Bend
J. Christian Becerra,Judge 434th District Court,District,TX,434,Fort Bend
Tameika Carter,Judge 458th District Court,District,TX,458,Fort Bend
KP George,Fort Bend County Judge,County/Magistrate,TX,,Fort Bend
Kelly Crow,Justice of the Peace,County/Magistrate,TX,,Fort Bend
