full_name,title,level,state_code,district_number,county_name
Terry Adams,Chief Justice First Court of Appeals,Appellate,TX,1,
Julie Countiss,Justice First Court of Appeals,Appellate,TX,1,
Tracy Christopher,Chief Justice Fourteenth Court of Appeals,Appellate,TX,14,
Kevin Jewell,Justice Fourteenth Court of Appeals,Appellate,TX,14,
